"Mesa","Clase","JUN / Nro.","1","2","3","4","5","6","7","8","9","10","11","12","Total"
"261.11.15.196.1.21","Lista","Lista 2A","6","10","19","3","1","6","13","0","2","4","1","2","67"
"261.11.15.196.1.21","Lista","Lista 2M","8","6","1","8","4","1","0","0","0","0","0","0","28"
"261.11.15.196.1.21","Lista","Lista 5","3","1","0","0","0","0","0","0","0","0","0","0","4"
"261.11.15.196.1.21","Lista","Lista 7","5","1","0","0","0","0","0","0","1","0","0","0","7"
"261.11.15.196.1.21","Blanco","VOTO EN BLANCO","6"
"Votos NULOS","0"
"Votos a Computar","0"
"Total General","112"
