"Mesa","Clase","JUN / Nro.","1","2","3","4","5","6","7","8","9","10","11","12","Total"
"261.11.15.196.1.5","Lista","Lista 2A","9","5","15","3","10","5","8","2","0","3","0","0","60"
"261.11.15.196.1.5","Lista","Lista 2M","6","13","2","4","0","2","1","1","1","2","0","0","32"
"261.11.15.196.1.5","Lista","Lista 5","2","0","0","1","1","0","0","0","0","0","0","1","5"
"261.11.15.196.1.5","Lista","Lista 7","1","0","1","0","0","0","0","0","0","0","0","0","2"
"261.11.15.196.1.5","Blanco","VOTO EN BLANCO","5"
"Votos NULOS","0"
"Votos a Computar","0"
"Total General","104"
