"Mesa","Clase","JUN / Nro.","1","2","3","4","5","6","7","8","9","10","11","12","Total"
"261.11.15.196.1.4","Lista","Lista 2A","13","5","15","2","7","2","5","5","1","2","0","1","58"
"261.11.15.196.1.4","Lista","Lista 2M","13","12","1","4","1","1","2","0","0","0","1","0","35"
"261.11.15.196.1.4","Lista","Lista 5","1","1","1","1","0","3","0","0","0","0","0","0","7"
"261.11.15.196.1.4","Lista","Lista 7","2","0","0","0","0","0","0","0","0","0","0","0","2"
"261.11.15.196.1.4","Blanco","VOTO EN BLANCO","5"
"Votos NULOS","1"
"Votos a Computar","0"
"Total General","108"
