"Mesa","Clase","JUN / Nro.","1","2","3","4","5","6","7","8","9","10","11","12","Total"
"261.11.15.196.1.16","Lista","Lista 2A","10","12","14","0","3","2","7","1","1","4","0","1","55"
"261.11.15.196.1.16","Lista","Lista 2M","3","14","2","7","1","1","2","0","0","3","1","0","34"
"261.11.15.196.1.16","Lista","Lista 5","2","3","0","0","0","0","0","0","0","0","1","0","6"
"261.11.15.196.1.16","Lista","Lista 7","4","0","0","0","0","0","0","0","1","1","0","0","6"
"261.11.15.196.1.16","Blanco","VOTO EN BLANCO","6"
"Votos NULOS","0"
"Votos a Computar","0"
"Total General","107"
