"Mesa","Clase","Nro.","Agrupación","INT"
"261.11.15.427.1.20","Lista","2A","HONOR COLORADO A","69"
"261.11.15.427.1.20","Lista","2M","HONOR COLORADO M","54"
"261.11.15.427.1.20","Lista","5","CAUSA REPUBLICANA","4"
"261.11.15.427.1.20","Lista","7","COLORADO RENOVADOR","1"
"261.11.15.427.1.20","Blanco","VOTO EN BLANCO","9"
"Votos NULOS","0"
"Votos a Computar","0"
"Total General","137"
