"Mesa","Clase","Nro.","Agrupación","INT"
"261.11.15.427.1.19","Lista","2A","HONOR COLORADO A","91"
"261.11.15.427.1.19","Lista","2M","HONOR COLORADO M","50"
"261.11.15.427.1.19","Lista","5","CAUSA REPUBLICANA","4"
"261.11.15.427.1.19","Lista","7","COLORADO RENOVADOR","0"
"261.11.15.427.1.19","Blanco","VOTO EN BLANCO","5"
"Votos NULOS","3"
"Votos a Computar","0"
"Total General","153"
