"Mesa","Clase","Nro.","Agrupación","INT"
"261.11.15.427.1.11","Lista","2A","HONOR COLORADO A","71"
"261.11.15.427.1.11","Lista","2M","HONOR COLORADO M","52"
"261.11.15.427.1.11","Lista","5","CAUSA REPUBLICANA","2"
"261.11.15.427.1.11","Lista","7","COLORADO RENOVADOR","1"
"261.11.15.427.1.11","Blanco","VOTO EN BLANCO","6"
"Votos NULOS","1"
"Votos a Computar","0"
"Total General","133"
