"Mesa","Clase","Nro.","Agrupación","INT"
"261.11.15.427.1.13","Lista","2A","HONOR COLORADO A","65"
"261.11.15.427.1.13","Lista","2M","HONOR COLORADO M","48"
"261.11.15.427.1.13","Lista","5","CAUSA REPUBLICANA","3"
"261.11.15.427.1.13","Lista","7","COLORADO RENOVADOR","1"
"261.11.15.427.1.13","Blanco","VOTO EN BLANCO","3"
"Votos NULOS","2"
"Votos a Computar","0"
"Total General","122"
