"Mesa","Clase","Nro.","Agrupación","INT"
"261.11.15.427.1.7","Lista","2A","HONOR COLORADO A","55"
"261.11.15.427.1.7","Lista","2M","HONOR COLORADO M","43"
"261.11.15.427.1.7","Lista","5","CAUSA REPUBLICANA","1"
"261.11.15.427.1.7","Lista","7","COLORADO RENOVADOR","3"
"261.11.15.427.1.7","Blanco","VOTO EN BLANCO","0"
"Votos NULOS","0"
"Votos a Computar","24"
"Total General","126"
