"Mesa","Clase","Nro.","Agrupación","INT"
"261.11.15.427.1.17","Lista","2A","HONOR COLORADO A","82"
"261.11.15.427.1.17","Lista","2M","HONOR COLORADO M","61"
"261.11.15.427.1.17","Lista","5","CAUSA REPUBLICANA","3"
"261.11.15.427.1.17","Lista","7","COLORADO RENOVADOR","0"
"261.11.15.427.1.17","Blanco","VOTO EN BLANCO","3"
"Votos NULOS","0"
"Votos a Computar","0"
"Total General","149"
