"Mesa","Clase","Nro.","Agrupación","INT"
"261.11.15.427.1.16","Lista","2A","HONOR COLORADO A","79"
"261.11.15.427.1.16","Lista","2M","HONOR COLORADO M","60"
"261.11.15.427.1.16","Lista","5","CAUSA REPUBLICANA","4"
"261.11.15.427.1.16","Lista","7","COLORADO RENOVADOR","4"
"261.11.15.427.1.16","Blanco","VOTO EN BLANCO","5"
"Votos NULOS","0"
"Votos a Computar","0"
"Total General","152"
