"Mesa","Clase","Nro.","Agrupación","INT"
"261.11.15.427.1.10","Lista","2A","HONOR COLORADO A","77"
"261.11.15.427.1.10","Lista","2M","HONOR COLORADO M","53"
"261.11.15.427.1.10","Lista","5","CAUSA REPUBLICANA","4"
"261.11.15.427.1.10","Lista","7","COLORADO RENOVADOR","1"
"261.11.15.427.1.10","Blanco","VOTO EN BLANCO","8"
"Votos NULOS","0"
"Votos a Computar","0"
"Total General","143"
