"Mesa","Clase","Nro.","Agrupación","INT"
"261.11.15.427.1.12","Lista","2A","HONOR COLORADO A","78"
"261.11.15.427.1.12","Lista","2M","HONOR COLORADO M","51"
"261.11.15.427.1.12","Lista","5","CAUSA REPUBLICANA","0"
"261.11.15.427.1.12","Lista","7","COLORADO RENOVADOR","1"
"261.11.15.427.1.12","Blanco","VOTO EN BLANCO","8"
"Votos NULOS","1"
"Votos a Computar","0"
"Total General","139"
