"Mesa","Clase","Nro.","Agrupación","INT"
"261.11.15.363.1.16","Lista","2A","HONOR COLORADO A","63"
"261.11.15.363.1.16","Lista","2M","HONOR COLORADO M","38"
"261.11.15.363.1.16","Lista","5","CAUSA REPUBLICANA","2"
"261.11.15.363.1.16","Lista","7","COLORADO RENOVADOR","0"
"261.11.15.363.1.16","Blanco","VOTO EN BLANCO","4"
"Votos NULOS","4"
"Votos a Computar","0"
"Total General","111"
