"Mesa","Clase","Nro.","Agrupación","INT"
"261.11.15.363.1.43","Lista","2A","HONOR COLORADO A","70"
"261.11.15.363.1.43","Lista","2M","HONOR COLORADO M","51"
"261.11.15.363.1.43","Lista","5","CAUSA REPUBLICANA","2"
"261.11.15.363.1.43","Lista","7","COLORADO RENOVADOR","1"
"261.11.15.363.1.43","Blanco","VOTO EN BLANCO","1"
"Votos NULOS","0"
"Votos a Computar","0"
"Total General","125"
