"Mesa","Clase","Nro.","Agrupación","INT"
"261.11.15.363.1.22","Lista","2A","HONOR COLORADO A","73"
"261.11.15.363.1.22","Lista","2M","HONOR COLORADO M","52"
"261.11.15.363.1.22","Lista","5","CAUSA REPUBLICANA","1"
"261.11.15.363.1.22","Lista","7","COLORADO RENOVADOR","0"
"261.11.15.363.1.22","Blanco","VOTO EN BLANCO","3"
"Votos NULOS","0"
"Votos a Computar","0"
"Total General","129"
