"Mesa","Clase","Nro.","Agrupación","INT"
"261.11.15.363.1.4","Lista","2A","HONOR COLORADO A","73"
"261.11.15.363.1.4","Lista","2M","HONOR COLORADO M","24"
"261.11.15.363.1.4","Lista","5","CAUSA REPUBLICANA","4"
"261.11.15.363.1.4","Lista","7","COLORADO RENOVADOR","2"
"261.11.15.363.1.4","Blanco","VOTO EN BLANCO","1"
"Votos NULOS","1"
"Votos a Computar","0"
"Total General","105"
