"Mesa","Clase","Nro.","Agrupación","INT"
"261.11.15.363.1.51","Lista","2A","HONOR COLORADO A","76"
"261.11.15.363.1.51","Lista","2M","HONOR COLORADO M","48"
"261.11.15.363.1.51","Lista","5","CAUSA REPUBLICANA","3"
"261.11.15.363.1.51","Lista","7","COLORADO RENOVADOR","2"
"261.11.15.363.1.51","Blanco","VOTO EN BLANCO","7"
"Votos NULOS","2"
"Votos a Computar","0"
"Total General","138"
