"Mesa","Clase","Nro.","Agrupación","INT"
"261.11.15.363.1.14","Lista","2A","HONOR COLORADO A","70"
"261.11.15.363.1.14","Lista","2M","HONOR COLORADO M","40"
"261.11.15.363.1.14","Lista","5","CAUSA REPUBLICANA","2"
"261.11.15.363.1.14","Lista","7","COLORADO RENOVADOR","0"
"261.11.15.363.1.14","Blanco","VOTO EN BLANCO","7"
"Votos NULOS","1"
"Votos a Computar","9"
"Total General","129"
