"Mesa","Clase","Nro.","Agrupación","INT"
"261.11.15.363.1.13","Lista","2A","HONOR COLORADO A","81"
"261.11.15.363.1.13","Lista","2M","HONOR COLORADO M","60"
"261.11.15.363.1.13","Lista","5","CAUSA REPUBLICANA","5"
"261.11.15.363.1.13","Lista","7","COLORADO RENOVADOR","0"
"261.11.15.363.1.13","Blanco","VOTO EN BLANCO","5"
"Votos NULOS","1"
"Votos a Computar","2"
"Total General","154"
