"Mesa","Clase","Nro.","Agrupación","INT"
"261.11.15.363.1.32","Lista","2A","HONOR COLORADO A","74"
"261.11.15.363.1.32","Lista","2M","HONOR COLORADO M","38"
"261.11.15.363.1.32","Lista","5","CAUSA REPUBLICANA","0"
"261.11.15.363.1.32","Lista","7","COLORADO RENOVADOR","2"
"261.11.15.363.1.32","Blanco","VOTO EN BLANCO","1"
"Votos NULOS","0"
"Votos a Computar","0"
"Total General","115"
