"Mesa","Clase","Nro.","Agrupación","INT"
"261.11.15.363.1.6","Lista","2A","HONOR COLORADO A","66"
"261.11.15.363.1.6","Lista","2M","HONOR COLORADO M","37"
"261.11.15.363.1.6","Lista","5","CAUSA REPUBLICANA","3"
"261.11.15.363.1.6","Lista","7","COLORADO RENOVADOR","3"
"261.11.15.363.1.6","Blanco","VOTO EN BLANCO","5"
"Votos NULOS","0"
"Votos a Computar","2"
"Total General","116"
