"Mesa","Clase","Nro.","Agrupación","INT"
"261.11.15.363.1.52","Lista","2A","HONOR COLORADO A","70"
"261.11.15.363.1.52","Lista","2M","HONOR COLORADO M","51"
"261.11.15.363.1.52","Lista","5","CAUSA REPUBLICANA","2"
"261.11.15.363.1.52","Lista","7","COLORADO RENOVADOR","2"
"261.11.15.363.1.52","Blanco","VOTO EN BLANCO","0"
"Votos NULOS","0"
"Votos a Computar","0"
"Total General","125"
