"Mesa","Clase","Nro.","Agrupación","INT"
"261.11.15.363.1.24","Lista","2A","HONOR COLORADO A","64"
"261.11.15.363.1.24","Lista","2M","HONOR COLORADO M","40"
"261.11.15.363.1.24","Lista","5","CAUSA REPUBLICANA","2"
"261.11.15.363.1.24","Lista","7","COLORADO RENOVADOR","4"
"261.11.15.363.1.24","Blanco","VOTO EN BLANCO","2"
"Votos NULOS","0"
"Votos a Computar","0"
"Total General","112"
