"Mesa","Clase","Nro.","Agrupación","INT"
"261.11.15.363.1.23","Lista","2A","HONOR COLORADO A","50"
"261.11.15.363.1.23","Lista","2M","HONOR COLORADO M","36"
"261.11.15.363.1.23","Lista","5","CAUSA REPUBLICANA","4"
"261.11.15.363.1.23","Lista","7","COLORADO RENOVADOR","1"
"261.11.15.363.1.23","Blanco","VOTO EN BLANCO","4"
"Votos NULOS","0"
"Votos a Computar","0"
"Total General","95"
