"Mesa","Clase","Nro.","Agrupación","INT"
"261.11.15.363.1.36","Lista","2A","HONOR COLORADO A","47"
"261.11.15.363.1.36","Lista","2M","HONOR COLORADO M","41"
"261.11.15.363.1.36","Lista","5","CAUSA REPUBLICANA","3"
"261.11.15.363.1.36","Lista","7","COLORADO RENOVADOR","1"
"261.11.15.363.1.36","Blanco","VOTO EN BLANCO","4"
"Votos NULOS","0"
"Votos a Computar","0"
"Total General","96"
