"Mesa","Clase","Nro.","Agrupación","INT"
"261.11.15.363.1.19","Lista","2A","HONOR COLORADO A","59"
"261.11.15.363.1.19","Lista","2M","HONOR COLORADO M","51"
"261.11.15.363.1.19","Lista","5","CAUSA REPUBLICANA","3"
"261.11.15.363.1.19","Lista","7","COLORADO RENOVADOR","2"
"261.11.15.363.1.19","Blanco","VOTO EN BLANCO","5"
"Votos NULOS","0"
"Votos a Computar","0"
"Total General","120"
