"Mesa","Clase","Nro.","Agrupación","INT"
"261.11.15.363.1.17","Lista","2A","HONOR COLORADO A","68"
"261.11.15.363.1.17","Lista","2M","HONOR COLORADO M","40"
"261.11.15.363.1.17","Lista","5","CAUSA REPUBLICANA","3"
"261.11.15.363.1.17","Lista","7","COLORADO RENOVADOR","0"
"261.11.15.363.1.17","Blanco","VOTO EN BLANCO","8"
"Votos NULOS","2"
"Votos a Computar","0"
"Total General","121"
