"Mesa","Clase","Nro.","Agrupación","INT"
"261.11.15.363.1.46","Lista","2A","HONOR COLORADO A","87"
"261.11.15.363.1.46","Lista","2M","HONOR COLORADO M","39"
"261.11.15.363.1.46","Lista","5","CAUSA REPUBLICANA","1"
"261.11.15.363.1.46","Lista","7","COLORADO RENOVADOR","0"
"261.11.15.363.1.46","Blanco","VOTO EN BLANCO","3"
"Votos NULOS","0"
"Votos a Computar","0"
"Total General","130"
