"Mesa","Clase","Nro.","Agrupación","INT"
"261.11.15.196.1.19","Lista","2A","HONOR COLORADO A","59"
"261.11.15.196.1.19","Lista","2M","HONOR COLORADO M","42"
"261.11.15.196.1.19","Lista","5","CAUSA REPUBLICANA","1"
"261.11.15.196.1.19","Lista","7","COLORADO RENOVADOR","0"
"261.11.15.196.1.19","Blanco","VOTO EN BLANCO","2"
"Votos NULOS","0"
"Votos a Computar","2"
"Total General","106"
