"Mesa","Clase","Nro.","Agrupación","INT"
"261.11.15.196.1.20","Lista","2A","HONOR COLORADO A","57"
"261.11.15.196.1.20","Lista","2M","HONOR COLORADO M","47"
"261.11.15.196.1.20","Lista","5","CAUSA REPUBLICANA","2"
"261.11.15.196.1.20","Lista","7","COLORADO RENOVADOR","2"
"261.11.15.196.1.20","Blanco","VOTO EN BLANCO","3"
"Votos NULOS","1"
"Votos a Computar","0"
"Total General","112"
