"Mesa","Clase","Nro.","Agrupación","INT"
"261.11.15.196.1.22","Lista","2A","HONOR COLORADO A","64"
"261.11.15.196.1.22","Lista","2M","HONOR COLORADO M","54"
"261.11.15.196.1.22","Lista","5","CAUSA REPUBLICANA","0"
"261.11.15.196.1.22","Lista","7","COLORADO RENOVADOR","2"
"261.11.15.196.1.22","Blanco","VOTO EN BLANCO","2"
"Votos NULOS","1"
"Votos a Computar","0"
"Total General","123"
