"Mesa","Clase","Nro.","Agrupación","INT"
"261.11.15.196.1.15","Lista","2A","HONOR COLORADO A","80"
"261.11.15.196.1.15","Lista","2M","HONOR COLORADO M","41"
"261.11.15.196.1.15","Lista","5","CAUSA REPUBLICANA","0"
"261.11.15.196.1.15","Lista","7","COLORADO RENOVADOR","3"
"261.11.15.196.1.15","Blanco","VOTO EN BLANCO","2"
"Votos NULOS","0"
"Votos a Computar","0"
"Total General","126"
