"Mesa","Clase","Nro.","Agrupación","INT"
"261.11.15.196.1.12","Lista","2A","HONOR COLORADO A","62"
"261.11.15.196.1.12","Lista","2M","HONOR COLORADO M","44"
"261.11.15.196.1.12","Lista","5","CAUSA REPUBLICANA","6"
"261.11.15.196.1.12","Lista","7","COLORADO RENOVADOR","2"
"261.11.15.196.1.12","Blanco","VOTO EN BLANCO","1"
"Votos NULOS","0"
"Votos a Computar","0"
"Total General","115"
