"Mesa","Clase","Nro.","Agrupación","INT"
"261.11.15.196.1.8","Lista","2A","HONOR COLORADO A","61"
"261.11.15.196.1.8","Lista","2M","HONOR COLORADO M","52"
"261.11.15.196.1.8","Lista","5","CAUSA REPUBLICANA","2"
"261.11.15.196.1.8","Lista","7","COLORADO RENOVADOR","2"
"261.11.15.196.1.8","Blanco","VOTO EN BLANCO","4"
"Votos NULOS","0"
"Votos a Computar","0"
"Total General","121"
