"Mesa","Clase","Nro.","Agrupación","INT"
"261.11.15.196.1.7","Lista","2A","HONOR COLORADO A","50"
"261.11.15.196.1.7","Lista","2M","HONOR COLORADO M","56"
"261.11.15.196.1.7","Lista","5","CAUSA REPUBLICANA","1"
"261.11.15.196.1.7","Lista","7","COLORADO RENOVADOR","0"
"261.11.15.196.1.7","Blanco","VOTO EN BLANCO","4"
"Votos NULOS","0"
"Votos a Computar","0"
"Total General","111"
