"Mesa","Clase","Nro.","Agrupación","INT"
"261.11.15.196.1.26","Lista","2A","HONOR COLORADO A","75"
"261.11.15.196.1.26","Lista","2M","HONOR COLORADO M","59"
"261.11.15.196.1.26","Lista","5","CAUSA REPUBLICANA","1"
"261.11.15.196.1.26","Lista","7","COLORADO RENOVADOR","3"
"261.11.15.196.1.26","Blanco","VOTO EN BLANCO","3"
"Votos NULOS","0"
"Votos a Computar","3"
"Total General","144"
