"Mesa","Clase","Nro.","Agrupación","INT"
"261.11.15.196.1.18","Lista","2A","HONOR COLORADO A","72"
"261.11.15.196.1.18","Lista","2M","HONOR COLORADO M","42"
"261.11.15.196.1.18","Lista","5","CAUSA REPUBLICANA","1"
"261.11.15.196.1.18","Lista","7","COLORADO RENOVADOR","0"
"261.11.15.196.1.18","Blanco","VOTO EN BLANCO","1"
"Votos NULOS","0"
"Votos a Computar","0"
"Total General","116"
