"Mesa","Clase","Nro.","Agrupación","INT"
"261.11.15.196.1.6","Lista","2A","HONOR COLORADO A","55"
"261.11.15.196.1.6","Lista","2M","HONOR COLORADO M","29"
"261.11.15.196.1.6","Lista","5","CAUSA REPUBLICANA","3"
"261.11.15.196.1.6","Lista","7","COLORADO RENOVADOR","2"
"261.11.15.196.1.6","Blanco","VOTO EN BLANCO","7"
"Votos NULOS","0"
"Votos a Computar","0"
"Total General","96"
