"Mesa","Clase","Nro.","Agrupación","INT"
"261.11.15.426.1.1","Lista","2A","HONOR COLORADO A","66"
"261.11.15.426.1.1","Lista","2M","HONOR COLORADO M","88"
"261.11.15.426.1.1","Lista","5","CAUSA REPUBLICANA","2"
"261.11.15.426.1.1","Lista","7","COLORADO RENOVADOR","2"
"261.11.15.426.1.1","Blanco","VOTO EN BLANCO","4"
"Votos NULOS","0"
"Votos a Computar","0"
"Total General","162"
