"Mesa","Clase","Nro.","Agrupación","INT"
"261.11.15.426.1.4","Lista","2A","HONOR COLORADO A","63"
"261.11.15.426.1.4","Lista","2M","HONOR COLORADO M","85"
"261.11.15.426.1.4","Lista","5","CAUSA REPUBLICANA","5"
"261.11.15.426.1.4","Lista","7","COLORADO RENOVADOR","1"
"261.11.15.426.1.4","Blanco","VOTO EN BLANCO","8"
"Votos NULOS","1"
"Votos a Computar","0"
"Total General","163"
