"Mesa","Clase","Nro.","Agrupación","INT"
"261.11.15.426.1.6","Lista","2A","HONOR COLORADO A","72"
"261.11.15.426.1.6","Lista","2M","HONOR COLORADO M","72"
"261.11.15.426.1.6","Lista","5","CAUSA REPUBLICANA","1"
"261.11.15.426.1.6","Lista","7","COLORADO RENOVADOR","4"
"261.11.15.426.1.6","Blanco","VOTO EN BLANCO","5"
"Votos NULOS","0"
"Votos a Computar","0"
"Total General","154"
