"Mesa","Clase","Nro.","Agrupación","INT"
"261.11.15.426.1.2","Lista","2A","HONOR COLORADO A","53"
"261.11.15.426.1.2","Lista","2M","HONOR COLORADO M","82"
"261.11.15.426.1.2","Lista","5","CAUSA REPUBLICANA","4"
"261.11.15.426.1.2","Lista","7","COLORADO RENOVADOR","3"
"261.11.15.426.1.2","Blanco","VOTO EN BLANCO","8"
"Votos NULOS","5"
"Votos a Computar","0"
"Total General","155"
