"Mesa","Clase","Nro.","Agrupación","INT"
"261.11.15.426.1.5","Lista","2A","HONOR COLORADO A","47"
"261.11.15.426.1.5","Lista","2M","HONOR COLORADO M","93"
"261.11.15.426.1.5","Lista","5","CAUSA REPUBLICANA","3"
"261.11.15.426.1.5","Lista","7","COLORADO RENOVADOR","0"
"261.11.15.426.1.5","Blanco","VOTO EN BLANCO","6"
"Votos NULOS","0"
"Votos a Computar","0"
"Total General","149"
