"Mesa","Clase","Nro.","Agrupación","INT"
"261.11.15.426.1.3","Lista","2A","HONOR COLORADO A","63"
"261.11.15.426.1.3","Lista","2M","HONOR COLORADO M","79"
"261.11.15.426.1.3","Lista","5","CAUSA REPUBLICANA","2"
"261.11.15.426.1.3","Lista","7","COLORADO RENOVADOR","2"
"261.11.15.426.1.3","Blanco","VOTO EN BLANCO","4"
"Votos NULOS","3"
"Votos a Computar","0"
"Total General","153"
