"Mesa","Clase","Nro.","Agrupación","INT"
"261.11.15.426.1.7","Lista","2A","HONOR COLORADO A","61"
"261.11.15.426.1.7","Lista","2M","HONOR COLORADO M","64"
"261.11.15.426.1.7","Lista","5","CAUSA REPUBLICANA","0"
"261.11.15.426.1.7","Lista","7","COLORADO RENOVADOR","1"
"261.11.15.426.1.7","Blanco","VOTO EN BLANCO","12"
"Votos NULOS","0"
"Votos a Computar","0"
"Total General","138"
