"Mesa","Clase","JUN / Nro.","1","2","3","4","5","6","7","8","9","10","11","12","Total"
"261.11.15.427.1.11","Lista","Lista 2A","20","0","10","3","1","5","14","3","7","10","0","0","73"
"261.11.15.427.1.11","Lista","Lista 2M","9","16","0","2","1","4","3","1","0","2","1","0","39"
"261.11.15.427.1.11","Lista","Lista 5","0","1","0","0","1","0","0","0","0","0","0","1","3"
"261.11.15.427.1.11","Lista","Lista 7","4","0","0","1","0","0","1","0","0","1","0","0","7"
"261.11.15.427.1.11","Blanco","VOTO EN BLANCO","10"
"Votos NULOS","1"
"Votos a Computar","0"
"Total General","133"
