"Mesa","Clase","JUN / Nro.","1","2","3","4","5","6","7","8","9","10","11","12","Total"
"261.11.15.427.1.14","Lista","Lista 2A","12","3","10","2","5","7","9","0","6","8","0","0","62"
"261.11.15.427.1.14","Lista","Lista 2M","9","13","0","4","8","4","4","11","0","1","0","1","55"
"261.11.15.427.1.14","Lista","Lista 5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"261.11.15.427.1.14","Lista","Lista 7","6","0","1","0","0","0","0","0","0","0","0","0","7"
"261.11.15.427.1.14","Blanco","VOTO EN BLANCO","6"
"Votos NULOS","1"
"Votos a Computar","0"
"Total General","131"
