"Mesa","Clase","Nro.","Agrupación","INT"
"261.11.15.425.1.2","Lista","2A","HONOR COLORADO A","116"
"261.11.15.425.1.2","Lista","2M","HONOR COLORADO M","48"
"261.11.15.425.1.2","Lista","5","CAUSA REPUBLICANA","3"
"261.11.15.425.1.2","Lista","7","COLORADO RENOVADOR","2"
"261.11.15.425.1.2","Blanco","VOTO EN BLANCO","4"
"Votos NULOS","0"
"Votos a Computar","0"
"Total General","173"
