"Mesa","Clase","Nro.","Agrupación","INT"
"261.11.15.425.1.8","Lista","2A","HONOR COLORADO A","49"
"261.11.15.425.1.8","Lista","2M","HONOR COLORADO M","26"
"261.11.15.425.1.8","Lista","5","CAUSA REPUBLICANA","1"
"261.11.15.425.1.8","Lista","7","COLORADO RENOVADOR","1"
"261.11.15.425.1.8","Blanco","VOTO EN BLANCO","2"
"Votos NULOS","0"
"Votos a Computar","0"
"Total General","79"
