"Mesa","Clase","Nro.","Agrupación","INT"
"261.11.15.425.1.7","Lista","2A","HONOR COLORADO A","99"
"261.11.15.425.1.7","Lista","2M","HONOR COLORADO M","35"
"261.11.15.425.1.7","Lista","5","CAUSA REPUBLICANA","0"
"261.11.15.425.1.7","Lista","7","COLORADO RENOVADOR","3"
"261.11.15.425.1.7","Blanco","VOTO EN BLANCO","2"
"Votos NULOS","0"
"Votos a Computar","0"
"Total General","139"
