"Mesa","Clase","Nro.","Agrupación","INT"
"261.11.15.425.1.1","Lista","2A","HONOR COLORADO A","99"
"261.11.15.425.1.1","Lista","2M","HONOR COLORADO M","60"
"261.11.15.425.1.1","Lista","5","CAUSA REPUBLICANA","1"
"261.11.15.425.1.1","Lista","7","COLORADO RENOVADOR","1"
"261.11.15.425.1.1","Blanco","VOTO EN BLANCO","8"
"Votos NULOS","2"
"Votos a Computar","0"
"Total General","171"
