"Mesa","Clase","Nro.","Agrupación","INT"
"261.11.15.425.1.5","Lista","2A","HONOR COLORADO A","115"
"261.11.15.425.1.5","Lista","2M","HONOR COLORADO M","55"
"261.11.15.425.1.5","Lista","5","CAUSA REPUBLICANA","2"
"261.11.15.425.1.5","Lista","7","COLORADO RENOVADOR","0"
"261.11.15.425.1.5","Blanco","VOTO EN BLANCO","2"
"Votos NULOS","0"
"Votos a Computar","0"
"Total General","174"
