"Mesa","Clase","Nro.","Agrupación","INT"
"261.11.15.425.1.3","Lista","2A","HONOR COLORADO A","89"
"261.11.15.425.1.3","Lista","2M","HONOR COLORADO M","43"
"261.11.15.425.1.3","Lista","5","CAUSA REPUBLICANA","1"
"261.11.15.425.1.3","Lista","7","COLORADO RENOVADOR","3"
"261.11.15.425.1.3","Blanco","VOTO EN BLANCO","1"
"Votos NULOS","0"
"Votos a Computar","0"
"Total General","137"
