"Mesa","Clase","Nro.","Agrupación","INT"
"261.11.15.425.1.6","Lista","2A","HONOR COLORADO A","86"
"261.11.15.425.1.6","Lista","2M","HONOR COLORADO M","51"
"261.11.15.425.1.6","Lista","5","CAUSA REPUBLICANA","0"
"261.11.15.425.1.6","Lista","7","COLORADO RENOVADOR","0"
"261.11.15.425.1.6","Blanco","VOTO EN BLANCO","5"
"Votos NULOS","0"
"Votos a Computar","0"
"Total General","142"
