"Mesa","Clase","JUN / Nro.","1","2","3","4","5","6","7","8","9","10","11","12","Total"
"261.11.15.425.1.2","Lista","Lista 2A","9","2","4","62","6","9","13","12","1","4","0","0","122"
"261.11.15.425.1.2","Lista","Lista 2M","8","20","7","2","0","2","3","0","0","0","0","0","42"
"261.11.15.425.1.2","Lista","Lista 5","0","0","1","0","0","0","1","1","0","0","0","0","3"
"261.11.15.425.1.2","Lista","Lista 7","0","0","0","0","0","0","2","0","2","0","0","0","4"
"261.11.15.425.1.2","Blanco","VOTO EN BLANCO","2"
"Votos NULOS","0"
"Votos a Computar","0"
"Total General","173"
