"Mesa","Clase","JUN / Nro.","1","2","3","4","5","6","7","8","9","10","11","12","Total"
"261.11.15.425.1.4","Lista","Lista 2A","4","3","4","52","10","3","7","9","0","1","0","2","95"
"261.11.15.425.1.4","Lista","Lista 2M","3","6","3","1","3","3","11","1","0","0","1","0","32"
"261.11.15.425.1.4","Lista","Lista 5","0","2","0","0","0","0","0","0","0","0","0","0","2"
"261.11.15.425.1.4","Lista","Lista 7","0","0","0","0","0","0","0","0","1","0","0","0","1"
"261.11.15.425.1.4","Blanco","VOTO EN BLANCO","5"
"Votos NULOS","0"
"Votos a Computar","0"
"Total General","135"
