"Mesa","Clase","JUN / Nro.","1","2","3","4","5","6","7","8","9","10","11","12","Total"
"261.11.15.363.1.17","Lista","Lista 2A","10","6","12","3","4","7","8","5","0","5","0","1","61"
"261.11.15.363.1.17","Lista","Lista 2M","16","5","1","7","7","1","1","3","0","0","0","1","42"
"261.11.15.363.1.17","Lista","Lista 5","1","0","1","0","0","0","0","0","0","0","0","2","4"
"261.11.15.363.1.17","Lista","Lista 7","3","0","0","0","1","0","0","0","0","0","1","0","5"
"261.11.15.363.1.17","Blanco","VOTO EN BLANCO","7"
"Votos NULOS","2"
"Votos a Computar","0"
"Total General","121"
