"Mesa","Clase","JUN / Nro.","1","2","3","4","5","6","7","8","9","10","11","12","Total"
"261.11.15.363.1.5","Lista","Lista 2A","12","24","15","1","8","3","17","3","0","2","1","0","86"
"261.11.15.363.1.5","Lista","Lista 2M","3","4","0","7","7","6","1","2","0","2","0","1","33"
"261.11.15.363.1.5","Lista","Lista 5","0","0","0","0","1","0","0","0","0","0","0","0","1"
"261.11.15.363.1.5","Lista","Lista 7","5","1","2","1","0","0","0","0","0","0","0","0","9"
"261.11.15.363.1.5","Blanco","VOTO EN BLANCO","0"
"Votos NULOS","0"
"Votos a Computar","0"
"Total General","129"
