"Mesa","Clase","JUN / Nro.","1","2","3","4","5","6","7","8","9","10","11","12","Total"
"261.11.15.426.1.2","Lista","Lista 2A","9","6","16","0","2","9","9","0","0","3","0","0","54"
"261.11.15.426.1.2","Lista","Lista 2M","10","34","3","7","4","2","3","0","0","2","0","2","67"
"261.11.15.426.1.2","Lista","Lista 5","0","1","0","1","0","0","0","0","0","0","0","0","2"
"261.11.15.426.1.2","Lista","Lista 7","15","0","1","0","1","0","0","0","0","1","0","0","18"
"261.11.15.426.1.2","Blanco","VOTO EN BLANCO","9"
"Votos NULOS","5"
"Votos a Computar","0"
"Total General","155"
