"Mesa","Clase","JUN / Nro.","1","2","3","4","5","6","7","8","9","10","11","12","Total"
"261.11.15.426.1.1","Lista","Lista 2A","25","10","10","0","5","9","9","0","1","1","1","0","71"
"261.11.15.426.1.1","Lista","Lista 2M","10","30","3","10","7","1","3","0","0","4","0","3","71"
"261.11.15.426.1.1","Lista","Lista 5","0","0","0","0","2","0","0","0","0","0","0","1","3"
"261.11.15.426.1.1","Lista","Lista 7","7","0","0","0","0","0","1","2","0","0","0","0","10"
"261.11.15.426.1.1","Blanco","VOTO EN BLANCO","7"
"Votos NULOS","0"
"Votos a Computar","0"
"Total General","162"
